clackercart, 0050 [Ftr_00080] DIY: 00A4
rocking horse, 0053 [Ftr_00083] DIY: 0066
ringtoss, 0058 [Ftr_00088] DIY: 002B
succulent plant, 0084 [Ftr_00132] DIY: 00BE
manhole cover, 0090 [Ftr_00144] DIY: 0115
birdbath, 014B [Ftr_00331] DIY: 002A
birdhouse, 014D [Ftr_00333] DIY: 0029
tiki torch, 0157 [Ftr_00343] DIY: 0067
acoustic guitar, 017F [Ftr_00383] DIY: 002C
grass standee, 0212 [Ftr_00530] DIY: 0246
hedge standee, 0213 [Ftr_00531] DIY: 0247
mountain standee, 0214 [Ftr_00532] DIY: 0248
tree standee, 0215 [Ftr_00533] DIY: 0249
wave breaker, 0299 [Ftr_00665] DIY: 0037
ukulele, 029D [Ftr_00669] DIY: 002D
tall lantern, 02A4 [Ftr_00676] DIY: 028D
deer scare, 02A5 [Ftr_00677] DIY: 0167
boomerang, 02AA [Ftr_00682] DIY: 00AB
bamboo bench, 02C6 [Ftr_00710] DIY: 002E
hearth, 02D2 [Ftr_00722] DIY: 00D9
garden rock, 02D9 [Ftr_00729] DIY: 0030
tall garden rock, 02DA [Ftr_00730] DIY: 0031
tea table, 02E3 [Ftr_00739] DIY: 0021
frozen mini snowperson, 02E7 [Ftr_00743] DIY: 0427
mush lamp, 0325 [Ftr_00805] DIY: 0033
mush table, 0328 [Ftr_00808] DIY: 0020
birdcage, 0361 [Ftr_00865] DIY: 00D8
wooden bucket, 0370 [Ftr_00880] DIY: 0010
holiday candle, 037B [Ftr_00891] DIY: 0174
stacked bottle crates, 039A [Ftr_00922] DIY: 0426
fruit basket, 03CF [Ftr_00975] DIY: 0038
pile of leaves, 03FF [Ftr_01023] DIY: 024A
magazine rack, 0408 [Ftr_01032] DIY: 019D
moon, 041E [Ftr_01054] DIY: 00EA
music stand, 0422 [Ftr_01058] DIY: 00D7
rocking chair, 044F [Ftr_01103] DIY: 0039
outdoor bath, 0457 [Ftr_01111] DIY: 019A
scarecrow, 0460 [Ftr_01120] DIY: 028F
brick oven, 0485 [Ftr_01157] DIY: 003A
swinging bench, 0492 [Ftr_01170] DIY: 003B
tire stack, 04A5 [Ftr_01189] DIY: 003C
DIY workbench, 04D9 [Ftr_01241] DIY: 0107
pear wardrobe, 04EF [Ftr_01263] DIY: 0009
barrel, 04F2 [Ftr_01266] DIY: 00A5
campfire, 0595 [Ftr_01429] DIY: 000D
bonfire, 0596 [Ftr_01430] DIY: 0022
asteroid, 059F [Ftr_01439] DIY: 00EB
lunar lander, 05A0 [Ftr_01440] DIY: 0182
rocket, 05A1 [Ftr_01441] DIY: 0199
lunar rover, 05A2 [Ftr_01442] DIY: 0175
satellite, 05A3 [Ftr_01443] DIY: 017B
space shuttle, 05A4 [Ftr_01444] DIY: 017D
astronaut suit, 05A5 [Ftr_01445] DIY: 00EC
flying saucer, 05A7 [Ftr_01447] DIY: 00E9
giant teddy bear, 05E0 [Ftr_01504] DIY: 0241
robot hero, 05E5 [Ftr_01509] DIY: 0252
wooden-block bed, 0615 [Ftr_01557] DIY: 003D
wooden-block bookshelf, 0616 [Ftr_01558] DIY: 003E
wooden-block bench, 0617 [Ftr_01559] DIY: 0017
wooden-block chest, 0619 [Ftr_01561] DIY: 0018
wooden-block table, 061D [Ftr_01565] DIY: 001A
dharma, 0625 [Ftr_01573] DIY: 0338
iron garden bench, 0659 [Ftr_01625] DIY: 003F
iron garden chair, 065A [Ftr_01626] DIY: 0040
iron garden table, 065B [Ftr_01627] DIY: 0041
matryoshka, 0674 [Ftr_01652] DIY: 0193
document stack, 06D6 [Ftr_01750] DIY: 01CE
aroma pot, 06D9 [Ftr_01753] DIY: 001E
stack of books, 06DF [Ftr_01759] DIY: 00C4
decoy duck, 0705 [Ftr_01797] DIY: 0186
doghouse, 0707 [Ftr_01799] DIY: 000E
trash bags, 071F [Ftr_01823] DIY: 0042
stacked magazines, 0745 [Ftr_01861] DIY: 00C5
wooden chair, 0779 [Ftr_01913] DIY: 000F
drinking fountain, 090F [Ftr_02319] DIY: 004D
water pump, 0916 [Ftr_02326] DIY: 0185
tire toy, 0919 [Ftr_02329] DIY: 004E
iron frame, 09F9 [Ftr_02553] DIY: 004F
wooden-block chair, 09FE [Ftr_02558] DIY: 00A0
pot, 09FF [Ftr_02559] DIY: 0025
wooden chest, 0A00 [Ftr_02560] DIY: 0011
natural garden chair, 0A1A [Ftr_02586] DIY: 0050
juicy-apple TV, 0A24 [Ftr_02596] DIY: 0006
wooden simple bed, 0A2D [Ftr_02605] DIY: 0012
simple well, 0AC2 [Ftr_02754] DIY: 0024
gold bars, 0BF9 [Ftr_03065] DIY: 0051
mini DIY workbench, 0C32 [Ftr_03122] DIY: 0052
ironwood table, 0C77 [Ftr_03191] DIY: 0023
ironwood chair, 0C79 [Ftr_03193] DIY: 0053
ironwood low table, 0C7A [Ftr_03194] DIY: 0054
ironwood cart, 0C7B [Ftr_03195] DIY: 0055
ironwood dresser, 0C7C [Ftr_03196] DIY: 0056
ironwood bed, 0C80 [Ftr_03200] DIY: 0057
wooden-block stereo, 0C85 [Ftr_03205] DIY: 0059
wooden-block toy, 0C86 [Ftr_03206] DIY: 0026
wooden-block wall clock, 0C88 [Ftr_03208] DIY: 005A
clothesline, 0C9D [Ftr_03229] DIY: 01C9
ironwood kitchenette, 0CC6 [Ftr_03270] DIY: 005B
ironwood cupboard, 0CC7 [Ftr_03271] DIY: 005C
ironwood clock, 0CCB [Ftr_03275] DIY: 005E
deer decoration, 0D0C [Ftr_03340] DIY: 017A
steamer-basket set, 0D10 [Ftr_03344] DIY: 017E
natural garden table, 0D44 [Ftr_03396] DIY: 00E0
stone table, 0D45 [Ftr_03397] DIY: 0069
stone stool, 0D46 [Ftr_03398] DIY: 0068
beekeeper's hive, 0D4E [Ftr_03406] DIY: 00CC
small cardboard boxes, 0D52 [Ftr_03410] DIY: 0261
medium cardboard boxes, 0D53 [Ftr_03411] DIY: 0262
large cardboard boxes, 0D54 [Ftr_03412] DIY: 0263
wooden wardrobe, 0D6C [Ftr_03436] DIY: 00AC
wooden end table, 0D6E [Ftr_03438] DIY: 00AA
wooden table, 0D6F [Ftr_03439] DIY: 00C9
standard umbrella stand, 0D75 [Ftr_03445] DIY: 00A9
western-style stone, 0D76 [Ftr_03446] DIY: 0206
wooden stool, 0D79 [Ftr_03449] DIY: 00A8
golden toilet, 0D90 [Ftr_03472] DIY: 0106
golden seat, 0D91 [Ftr_03473] DIY: 0085
wooden waste bin, 0DA2 [Ftr_03490] DIY: 00AD
frozen table, 0DA9 [Ftr_03497] DIY: 0092
frozen partition, 0DAA [Ftr_03498] DIY: 0093
frozen arch, 0DAB [Ftr_03499] DIY: 008C
frozen pillar, 0DAC [Ftr_03500] DIY: 0094
frozen sculpture, 0DAD [Ftr_03501] DIY: 008D
frozen bed, 0DAE [Ftr_03502] DIY: 0095
frozen chair, 0DAF [Ftr_03503] DIY: 008E
frozen tree, 0DB0 [Ftr_03504] DIY: 0091
frozen counter, 0DB1 [Ftr_03505] DIY: 008F
garden bench, 0DB5 [Ftr_03509] DIY: 007C
bamboo shelf, 0DDF [Ftr_03551] DIY: 009B
bamboo partition, 0DE1 [Ftr_03553] DIY: 009D
bamboo candleholder, 0DE2 [Ftr_03554] DIY: 0099
bamboo doll, 0DE3 [Ftr_03555] DIY: 009E
bamboo stopblock, 0DE4 [Ftr_03556] DIY: 009A
bamboo floor lamp, 0DE5 [Ftr_03557] DIY: 009F
bamboo wall decoration, 0DE6 [Ftr_03558] DIY: 0097
iron wall lamp, 0DE7 [Ftr_03559] DIY: 007A
iron worktable, 0DE8 [Ftr_03560] DIY: 007E
iron hanger stand, 0DE9 [Ftr_03561] DIY: 016D
iron wall rack, 0DEA [Ftr_03562] DIY: 007B
iron shelf, 0DEB [Ftr_03563] DIY: 0080
bonsai shelf, 0DFC [Ftr_03580] DIY: 0251
signpost, 0E04 [Ftr_03588] DIY: 00D5
stall, 0E21 [Ftr_03617] DIY: 0254
cutting board, 0E22 [Ftr_03618] DIY: 011C
bamboo basket, 0E4A [Ftr_03658] DIY: 0098
hay bed, 0E5B [Ftr_03675] DIY: 00A7
plain sink, 0E63 [Ftr_03683] DIY: 00AE
coconut juice, 0E64 [Ftr_03684] DIY: 00A3
sauna heater, 0E69 [Ftr_03689] DIY: 0176
plain wooden shop sign, 0E6C [Ftr_03692] DIY: 00A6
golden candlestick, 0EBC [Ftr_03772] DIY: 0082
terrarium, 0EBD [Ftr_03773] DIY: 0187
Libra scale, 0EBE [Ftr_03774] DIY: 0084
hanging terrarium, 0EBF [Ftr_03775] DIY: 018C
brick well, 0EC0 [Ftr_03776] DIY: 0198
potted ivy, 0EC9 [Ftr_03785] DIY: 00D6
pine bonsai tree, 0EDA [Ftr_03802] DIY: 0250
mush parasol, 0EDD [Ftr_03805] DIY: 008B
mush partition, 0EDE [Ftr_03806] DIY: 008A
mush log, 0EE0 [Ftr_03808] DIY: 0088
golden dishes, 0EE2 [Ftr_03810] DIY: 0083
oil-barrel bathtub, 0EEB [Ftr_03819] DIY: 018A
ironwood DIY workbench, 0F67 [Ftr_03943] DIY: 007D
big festive tree, 0F7E [Ftr_03966] DIY: 0111
orange end table, 0F87 [Ftr_03975] DIY: 00B9
orange wall-mounted clock, 0F88 [Ftr_03976] DIY: 00B8
shell arch, 0F89 [Ftr_03977] DIY: 00AF
shell partition, 0F8A [Ftr_03978] DIY: 00B0
shell stool, 0F8B [Ftr_03979] DIY: 00B1
shell table, 0F8C [Ftr_03980] DIY: 00B2
shell fountain, 0F8E [Ftr_03982] DIY: 00B4
shell bed, 0F8F [Ftr_03983] DIY: 00B5
shell lamp, 0F90 [Ftr_03984] DIY: 00B6
festive tree, 0F97 [Ftr_03991] DIY: 0112
key holder, 0F98 [Ftr_03992] DIY: 01B5
kettle bathtub, 0FA8 [Ftr_04008] DIY: 01EA
cherry speakers, 0FAB [Ftr_04011] DIY: 00A1
cherry lamp, 0FAC [Ftr_04012] DIY: 00A2
unglazed dish set, 0FB9 [Ftr_04025] DIY: 0078
floral swag, 0FBB [Ftr_04027] DIY: 0079
scattered papers, 0FC2 [Ftr_04034] DIY: 01CF
log garden lounge, 0FC3 [Ftr_04035] DIY: 0071
log decorative shelves, 0FC4 [Ftr_04036] DIY: 0072
log wall-mounted clock, 0FC5 [Ftr_04037] DIY: 0073
log stool, 0FC6 [Ftr_04038] DIY: 0074
log chair, 0FC7 [Ftr_04039] DIY: 0075
log dining table, 0FC8 [Ftr_04040] DIY: 0076
log bed, 0FC9 [Ftr_04041] DIY: 0077
log bench, 0FCA [Ftr_04042] DIY: 0070
log round table, 0FCB [Ftr_04043] DIY: 006F
log extra-long sofa, 0FCC [Ftr_04044] DIY: 006E
illuminated tree, 0FE2 [Ftr_04066] DIY: 00CB
tabletop festive tree, 0FE3 [Ftr_04067] DIY: 0184
classic pitcher, 0FE9 [Ftr_04073] DIY: 00C0
illuminated reindeer, 0FEA [Ftr_04074] DIY: 0188
gong, 0FEB [Ftr_04075] DIY: 0189
barbell, 0FEE [Ftr_04078] DIY: 018B
spooky arch, 0FF3 [Ftr_04083] DIY: 00CD
spooky scarecrow, 0FF4 [Ftr_04084] DIY: 00CE
spooky tower, 0FF6 [Ftr_04086] DIY: 00CF
spooky carriage, 0FF7 [Ftr_04087] DIY: 00D0
spooky lantern, 0FF8 [Ftr_04088] DIY: 00D1
spooky chair, 0FF9 [Ftr_04089] DIY: 00D2
spooky table, 0FFA [Ftr_04090] DIY: 00CA
spooky lantern set, 0FFC [Ftr_04092] DIY: 00D4
bamboo drum, 0FFD [Ftr_04093] DIY: 018D
frying pan, 1008 [Ftr_04104] DIY: 00C7
